  Func                               Cost    Frame   Height
------------------------------------------------------------------------
> hardfault_log_main                  932      460        4
> top_main                            728      228        4
> mtd_main                            672       60        6
  mtd_rwtest                          612      308        5
> board_app_initialize                556       84        6
  print_load                          500      188        3
  mtd_readtest                        476      172        5
  hardfault_write                     472       68        3
> user_start                          440      148        5
> frsky_telemetry_thread_main         428      220        4
> _Z21commander_thread_mainiPPc       416        0       13
  rc_calibration_check                416      116        7
> commander_main                      416        0       12
> _Z23commander_low_prio_loopPv       416        0       11
  _ZN9Commander14preflightCheckEPPvbbbbbbbbbbby      416        0        8
  _Z23arming_state_transitionP16vehicle_status_sP16battery_status_sPK8safety_shP16actuator_armed_sbPPvP14status_flags_sfhy      416        0       10
  _Z15preflight_checkP16vehicle_status_sPPvbbP14status_flags_sP16battery_status_shy      416        0        9
  _Z14handle_commandP16vehicle_status_sPK8safety_sP17vehicle_command_sP16actuator_armed_sP15home_position_sP25vehicle_global_position_sP24vehicle_local_position_sP18vehicle_attitude_sPPvSH_P13vehicle_roi_sSH_Pb      416        0       12
  _Z10arm_disarmbPPvPKc               416        0       11
  write_stack_detail                  404      404        1
  mtd_start                           384      132        4
  load_mixer_file                     364      156        3
  _ZL4loadPKcS0_b                     364        0        4
> mixer_main                          364        0        5
> uorb_main                           356        0        7
  px4_log_initialize                  356      148        6
> autosave_worker                     324       12        7
> nshterm_main                        316      108        3
> param_import_callback@./src/modules/systemlib/param/CMakeFiles/modules__systemlib__param.dir/param.c.obj      316       36        8
  param_save_default                  312       28        6
  print_load_buffer                   312      308        2
> param_main                          312        0        9
> _ZN3px46logger6Logger3runEv         312        0       14
  _ZN3px46logger6Logger22initialize_load_outputEv      312        0        3
> _ZN22TemperatureCalibration9task_mainEv      312        0        7
  _ZN3px46logger6Logger17write_load_outputEb      312        0        3
  _ZN3px46logger6Logger14start_log_fileEv      312        0       13
  _Z23do_airspeed_calibrationPPv      312        0        8
  mtd_erase                           308      100        3
  mtd_get_partition_size              304       52        4
> _ZN21MavlinkMissionManager18handle_mission_ackEPK17__mavlink_message      300        0        8
  _Z18do_esc_calibrationPPvP16actuator_armed_s      300        0        7
> _ZN21MavlinkMissionManager24handle_mission_item_bothEPK17__mavlink_message      300        0        9
> _ZN24FixedwingPositionControl20task_main_trampolineEiPPc      300        0       11
> _ZN7sensors18VotedSensorsUpdate15check_vibrationEv      300        0        7
  _ZN24MavlinkParametersManager8send_oneEv      300        0        8
> _ZN12DataLinkLoss9on_activeEv       300        0        9
> _ZN21MavlinkMissionManager26handle_mission_set_currentEPK17__mavlink_message      300        0        9
  _ZN5PX4IO10mixer_sendEPKcjj         300        0        7
  _ZN24MavlinkParametersManager14handle_messageEPK17__mavlink_message      300        0        7
> _ZN5PX4IO4initEv                    300        0        8
> _ZN7Takeoff20set_takeoff_positionEv      300        0        7
  _ZN6PX4FMU13capture_ioctlEP4fileim      300        0        6
  _ZN24FixedwingPositionControl14handle_commandEv      300        0        7
  _ZN6PX4FMU8set_modeENS_4ModeE       300        0        5
> _ZN13EngineFailure9on_activeEv      300        0        9
  _Z18do_mag_calibrationPPv           300        0       10
> _ZL16do_reset_nostartPPKci          300        0        9
  _ZN7Mission19check_mission_validEb      300        0       10
  _ZN7Mavlink24send_statustext_criticalEPKc      300        0        7
  _ZN5PX4IO9task_mainEv               300        0        8
  _ZN9Navigator19set_mission_failureEPKc      300        0        7
  _Z19do_trim_calibrationPPv          300        0        7
> _ZN8Geofence8checkAllEddf           300        0        7
> _ZN5PX4IO6detectEv                  300        0        7
> _ZN6RCLoss13on_activationEv         300        0        8
  _ZN6RCLoss11advance_rclEv           300        0        7
  _ZN25MissionFeasibilityChecker21checkFixedWingLandingE9dm_item_tjP20fw_pos_ctrl_status_sb      300        0        7
  _ZN21MavlinkMissionManager20send_mission_requestEhht      300        0        8
> config_main                         300       92        6
  _Z17print_reject_modeP16vehicle_status_sPKc      300        0        7
> _ZN6PX4FMU12fmu_new_modeE8PortMode      300        0        6
  _Z20hil_state_transitionhPvP16vehicle_status_sPS_      300        0        7
  _ZN7Mission17set_mission_itemsEv      300        0        9
  _ZN8Geofence12loadFromFileEPKc      300        0        7
> _ZN3RTL9on_activeEv                 300        0        9
  _ZN7Mission21prepare_mission_itemsEbP14mission_item_sS1_Pb      300        0        8
  _ZN5PX4IO16io_set_rc_configEv       300        0        7
  _ZN21MavlinkMissionManager22update_safepoint_countEj      300        0        8
  _ZN10MavlinkFTP16_process_requestEP34__mavlink_file_transfer_protocol_th      300        0        9
> _ZN6PX4FMU5ioctlEP4fileim           300        0        8
  _ZN6RCLoss11advance_rclEv.part.6      300        0        7
  _ZN25MissionFeasibilityChecker14check_dist_1wpE9dm_item_tjddfRb      300        0        7
> _ZN7Mission27save_offboard_mission_stateEv      300        0        7
  _ZN3px46logger6Logger16check_free_spaceEv      300        0        7
  _ZN19VtolAttitudeControl22abort_front_transitionEPKc      300        0        7
  _ZN7Mission23update_offboard_missionEv      300        0       11
